﻿Stock Level Summary Report
Merchant ID,B0961005
Merchant Name,Hong Kong online Community pharmacy superstore
Date,2026/06/19
,,,,,,,,,,,,,,,Packing Dimension
Merchant ID,Merchant Product ID,Primary SKU,Merchant SKU ID,SKU Name,SKU Name (Chi),Warehouse ID,StockLevel,Online Status,Invisible,Force Out Of Stock,Create Date,Offline Date,Brand Name (EN),Brand Name (CHI),Height,Width,Depth,Packing Spec(EN),Packing Spec(CHI),Primary Category Code,Primary Category Name (CHI),Currency,Original Price,Discount Price,Discount Rate(%),VIP Discount Price,VIP Discount Rate(%),GOLD VIP Discount Price,GOLD VIP Discount Rate(%),DIAMOND VIP Discount Price,DIAMOND VIP Discount Rate(%),
B0961005,4890008403363_24,Y,B0961005_S_4890008403363_24,(Full Case) SchweppesTonic Water (Mini Can) 200ml x 24 cans【Best Before:04/2027】,(原箱) 玉泉湯力水(迷你罐裝) 200ml x 24罐【最佳使用日期:04/2027】,B096100591,30,online,N,N,15-May-2026,01-Jan-2099,可口可樂,可口可樂,320,220,100,200ml x 24,200毫升 x 24,AA11221500001,汽水,HKD,106.0,82.0,22.64151, , , , , , ,
B0961005,4890008404360_24,Y,B0961005_S_4890008404360_24,(Full Case) SchweppesDry Ginger Ale (Mini Can) 200ml x 24 cans【Best Before:04/2027】,(原箱) 玉泉乾薑味氣水(迷你罐裝) 200ml x 24罐【最佳使用日期:04/2027】,B096100591,24,online,N,N,15-May-2026,01-Jan-2099,可口可樂,可口可樂,320,220,100,200ml x 24,200毫升 x 24,AA11221500001,汽水,HKD,106.0,82.0,22.64151, , , , , , ,
B0961005,4890008405367_24,Y,B0961005_S_4890008405367_24,(Full Case) SchweppesSpicy Ginger Beer (Brown-Yellow Can; Mini Can) 200ml x 24 cans【EXP:03/2027】,(原箱) 玉泉迷你罐裝有氣辣薑啤 200ml x 24罐【最佳使用日期:03/2027】,B096100591,9,online,N,N,15-May-2026,01-Jan-2099,可口可樂,可口可樂,320,220,100,200ml x 24,200毫升 x 24,AA11221500001,汽水,HKD,106.0,82.0,22.64151, , , , , , ,
B0961005,4890008407309_24,Y,B0961005_S_4890008407309_24,(Full Case) SchweppesGrapefruit (Canned) 330ml x 24 cans【Best Before:03/2027】,(原箱) 玉泉(西柚味) 罐裝330ml x 24罐【最佳使用日期:03/2027】,B096100591,13,online,N,N,15-May-2026,01-Jan-2099,可口可樂,可口可樂,400,270,120,330ml x 24,330毫升 x 24,AA11221500001,汽水,HKD,120.0,79.0,34.16667, , , , , , ,
B0961005,4890008411306_24,Y,B0961005_S_4890008411306_24,(Full Case) SchweppesLemon+C 330ml x 24 cans【Best Before:04/2027】,(原箱) 玉泉檸檬+C 330ml x 24罐【最佳使用日期:04/2027】,B096100591,57,online,N,N,15-May-2026,01-Jan-2099,可口可樂,可口可樂,400,270,120,330ml x 24,330毫升 x 24,AA11221500001,汽水,HKD,120.0,79.0,34.16667, , , , , , ,
B0961005,4890008452309_24,Y,B0961005_S_4890008452309_24,(Full Case) SchweppesLime Sparkling Water 330ml x 24 cans【Best Before:04/2027】,(原箱) 玉泉青檸 有氣水 330ml x 24罐【最佳使用日期:04/2027】,B096100591,234,online,N,N,15-May-2026,01-Jan-2099,可口可樂,可口可樂,400,270,120,330ml x 24,330毫升 x 24,AA11221500001,汽水,HKD,164.4,79.0,51.94647, , , , , , ,
B0961005,4890008500314_24,Y,B0961005_S_4890008500314_24,(Full Case) Coffee Beverage - Regular 250ml x 24 cans【Best Before:03/2027】,(原箱) 香滑咖啡 [罐裝] 250ml x 24罐【最佳使用日期:02/2027】,B096100591,73,online,N,N,15-May-2026,01-Jan-2099,Nestlé,雀巢,300,350,300,250ml x 24,250毫升 x 24,AA11223505001,咖啡,HKD,158.0,125.0,20.88608, , , , , , ,
B0961005,4890008501311_24,Y,B0961005_S_4890008501311_24,(Full Case) Coffee Beverage Rich 250ml x 24 cans【Best Before:03/2027】,(原箱) 香濃咖啡[罐裝] 250ml x 24罐【最佳使用日期:03/2027】,B096100591,70,online,N,N,15-May-2026,01-Jan-2099,Nestlé,雀巢,300,350,300,250ml x 24,250毫升 x 24 ,AA11223505001,咖啡,HKD,158.0,125.0,20.88608, , , , , , ,
B0961005,4890008571246_24,Y,B0961005_S_4890008571246_24,(Full Case) Dahongpao Oolong Tea (No Sugar) 500ml x 24【Best Before:04/2027】,(原箱) 大紅袍烏龍茶(無糖) 500ml x 24支【最佳使用日期:04/2027】,B096100591,46,online,N,N,15-May-2026,01-Jan-2099,Authentic Tea House,淳茶舍,400,270,200,500ml x 24,500毫升 x 24,AA11224510001,樽裝茶,HKD,237.6,124.0,47.81145, , , , , , ,
B0961005,4890008571529_12,Y,B0961005_S_4890008571529_12,(Full Case) Dahongpao Oolong Tea (No Sugar) 920ml x12【Best Before:03/2027】,(原箱) 大紅袍烏龍茶 (無糖) 920ml x 12支【最佳使用日期:03/2027】,B096100591,6,online,N,N,15-May-2026,01-Jan-2099,Authentic Tea House,淳茶舍,400,270,220,920ml x 12,920毫升 x 12,AA11224510001,樽裝茶,HKD,200.4,127.0,36.62675, , , , , , ,
